dataset,model,pre_len,graph_type,graph_desc,RMSE,MAE,Accuracy,R2,elapsed,success
Los-loop,GCN,3,gsl,DAGMA GSL,8.0790433883667,5.364591598510742,0.8624632954597473,0.6628844738006592,2.5519652366638184,True
Los-loop,GCN,3,dcg,DAGMA cGSL (symmetrized),6.1351847648620605,3.738255500793457,0.895555317401886,0.8044456243515015,2.5349602699279785,True
Los-loop,GCN,4,physical,Physical graph baseline,8.301615715026855,5.85736608505249,0.8586592674255371,0.6424556374549866,2.7039148807525635,True
Los-loop,GCN,4,sparse_random,Sparse random (same edge count as GSL),10.300565719604492,7.2492265701293945,0.8246257901191711,0.452949583530426,2.5345892906188965,True
Los-loop,GCN,4,gsl,DAGMA GSL,9.017601013183594,6.035890579223633,0.8464691638946533,0.5793595314025879,2.524393320083618,True
Los-loop,GCN,4,dcg,DAGMA cGSL (symmetrized),6.7666730880737305,4.11513614654541,0.8847927451133728,0.7624359726905823,2.5438718795776367,True
Los-loop,TGCN,1,physical,Physical graph baseline,6.714537143707275,4.638757705688477,0.8857176303863525,0.7653234004974365,19.8728609085083,True
Los-loop,TGCN,1,sparse_random,Sparse random (same edge count as GSL),5.22089958190918,3.2297070026397705,0.9111395478248596,0.8579645156860352,19.948936462402344,True
Los-loop,TGCN,1,gsl,DAGMA GSL,4.975364685058594,3.0699167251586914,0.9153186082839966,0.8714885115623474,19.905171871185303,True
Los-loop,TGCN,1,dcg,DAGMA cGSL (symmetrized),4.88065767288208,2.9593491554260254,0.9169304966926575,0.8758928775787354,19.905076026916504,True
Los-loop,TGCN,2,physical,Physical graph baseline,6.82992696762085,4.717827796936035,0.8837409615516663,0.7572423219680786,19.990490674972534,True
Los-loop,TGCN,2,sparse_random,Sparse random (same edge count as GSL),5.705214023590088,3.4345521926879883,0.9028858542442322,0.8309279084205627,19.992233991622925,True
Los-loop,TGCN,2,gsl,DAGMA GSL,5.305533409118652,3.191480875015259,0.90968918800354,0.853542685508728,19.98289442062378,True
Los-loop,TGCN,2,dcg,DAGMA cGSL (symmetrized),5.200510501861572,3.0736491680145264,0.9114769101142883,0.8593325614929199,19.979262351989746,True
Los-loop,TGCN,3,physical,Physical graph baseline,7.263851642608643,4.918725967407227,0.8763410449028015,0.726563036441803,19.98111343383789,True
Los-loop,TGCN,3,sparse_random,Sparse random (same edge count as GSL),6.115187168121338,3.734321117401123,0.895895779132843,0.8056994080543518,20.046018600463867,True
Los-loop,TGCN,3,gsl,DAGMA GSL,5.809351444244385,3.573413133621216,0.9011023044586182,0.8247326612472534,20.02081274986267,True
Los-loop,TGCN,3,dcg,DAGMA cGSL (symmetrized),5.691450119018555,3.4504554271698,0.9031094312667847,0.8318221569061279,20.018136739730835,True
Los-loop,TGCN,4,physical,Physical graph baseline,7.609518051147461,5.179234027862549,0.8704427480697632,0.6993836164474487,20.0256187915802,True
Los-loop,TGCN,4,sparse_random,Sparse random (same edge count as GSL),6.540200233459473,3.9038429260253906,0.8886486291885376,0.7779694199562073,20.220865964889526,True
Los-loop,TGCN,4,gsl,DAGMA GSL,6.230103492736816,3.747748851776123,0.8939282298088074,0.7985072135925293,20.35713291168213,True
Los-loop,TGCN,4,dcg,DAGMA cGSL (symmetrized),6.093349456787109,3.6009984016418457,0.8962565660476685,0.8073438405990601,20.35688805580139,True
