dataset,ph,variant_id,method,family,graph,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,n_seeds,wins_vs_tgcn_of_5,n_edges
losloop,4,gcn_no_spatial,GCN-NoSpatial,GCN,identity (no graph),6.258480,0.256268,6.017900,6.638500,3.679140,0.218980,3.441700,3.998800,5,5,207
losloop,4,gcn_gsl,GCN-GSL,GCN,DAGMA contemporaneous,8.933480,0.124277,8.804200,9.092800,5.916100,0.070064,5.814100,5.988700,5,1,28
losloop,4,gcn_cgsl,GCN-cGSL,GCN,"DAGMA contemporaneous, symmetrized",6.880840,0.212463,6.679900,7.194800,4.246420,0.163640,4.072800,4.489800,5,5,56
losloop,4,gcn_multigsl,GCN-MultiGSL,GCN,DAGMA multi-lag union,10.272040,0.107680,10.166400,10.426600,6.876980,0.048142,6.816000,6.947400,5,0,28
shenzhen,1,physical,T-GCN,T-GCN,physical road network,5.449280,0.109193,5.346700,5.632000,4.077600,0.051066,4.035300,4.162400,5,0,532
shenzhen,1,no_spatial,T-GCN-NoSpatial,T-GCN,identity (no graph),4.119940,0.004199,4.116500,4.125700,2.758900,0.042298,2.693400,2.808700,5,5,156
shenzhen,1,gsl,T-GCN-GSL,T-GCN,DAGMA contemporaneous,4.280940,0.050898,4.253200,4.371700,2.865480,0.130383,2.793000,3.097300,5,5,8
shenzhen,1,cgsl,T-GCN-cGSL,T-GCN,"DAGMA contemporaneous, symmetrized",4.300780,0.032584,4.264300,4.347100,2.857320,0.019780,2.824100,2.877400,5,5,16
shenzhen,1,multi_gsl,T-GCN-MultiGSL,T-GCN,DAGMA multi-lag (fixed),4.130300,0.016054,4.115100,4.155500,2.815680,0.084451,2.697300,2.927200,5,5,2
shenzhen,1,multi_gsl_weighted,T-GCN-MultiGSL-Weighted,T-GCN,DAGMA multi-lag (learned global weights),4.130360,0.016018,4.115200,4.155600,2.815920,0.084312,2.698100,2.927600,5,5,2
shenzhen,1,multi_gsl_mix,T-GCN-MultiGSL-Mix,T-GCN,DAGMA multi-lag (per-node gating),4.119000,0.019637,4.106400,4.153600,2.752420,0.093404,2.684500,2.905500,5,5,2
shenzhen,1,gcn_physical,GCN,GCN,physical road network,5.959640,0.005332,5.956100,5.968700,4.411740,0.004420,4.407300,4.416700,5,0,532
shenzhen,1,gcn_no_spatial,GCN-NoSpatial,GCN,identity (no graph),4.114000,0.001958,4.112200,4.116300,2.749720,0.025826,2.708200,2.775800,5,5,156
shenzhen,1,gcn_gsl,GCN-GSL,GCN,DAGMA contemporaneous,4.880300,0.008003,4.868100,4.890500,3.166460,0.009916,3.155000,3.175700,5,5,8
shenzhen,1,gcn_cgsl,GCN-cGSL,GCN,"DAGMA contemporaneous, symmetrized",4.641160,0.003831,4.638100,4.647700,3.027840,0.007163,3.020600,3.035900,5,5,16
shenzhen,1,gcn_multigsl,GCN-MultiGSL,GCN,DAGMA multi-lag union,4.823360,0.007066,4.814400,4.833300,3.039180,0.010596,3.024300,3.052800,5,5,2
shenzhen,2,physical,T-GCN,T-GCN,physical road network,5.551520,0.082466,5.441000,5.668700,4.154660,0.037084,4.100800,4.202400,5,0,532
shenzhen,2,no_spatial,T-GCN-NoSpatial,T-GCN,identity (no graph),4.160420,0.005938,4.156500,4.170800,2.782560,0.027859,2.742900,2.819400,5,5,156
shenzhen,2,gsl,T-GCN-GSL,T-GCN,DAGMA contemporaneous,4.308920,0.026715,4.289100,4.355500,2.892820,0.069108,2.831400,3.010700,5,5,8
shenzhen,2,cgsl,T-GCN-cGSL,T-GCN,"DAGMA contemporaneous, symmetrized",4.335320,0.015877,4.316100,4.359700,2.918680,0.028164,2.891800,2.960100,5,5,16
shenzhen,2,multi_gsl,T-GCN-MultiGSL,T-GCN,DAGMA multi-lag (fixed),4.160680,0.004867,4.155100,4.166900,2.826100,0.027013,2.788500,2.852900,5,5,2
shenzhen,2,multi_gsl_weighted,T-GCN-MultiGSL-Weighted,T-GCN,DAGMA multi-lag (learned global weights),4.160780,0.004636,4.155600,4.166900,2.826200,0.027113,2.789300,2.853000,5,5,2
shenzhen,2,multi_gsl_mix,T-GCN-MultiGSL-Mix,T-GCN,DAGMA multi-lag (per-node gating),4.149220,0.005376,4.144500,4.158000,2.773820,0.043287,2.728600,2.840000,5,5,2
shenzhen,2,gcn_physical,GCN,GCN,physical road network,5.975160,0.002074,5.973100,5.978600,4.422920,0.001083,4.421300,4.424100,5,0,532
shenzhen,2,gcn_no_spatial,GCN-NoSpatial,GCN,identity (no graph),4.152680,0.000342,4.152200,4.153000,2.772480,0.006201,2.767600,2.782100,5,5,156
shenzhen,2,gcn_gsl,GCN-GSL,GCN,DAGMA contemporaneous,4.909740,0.002985,4.905000,4.913200,3.204240,0.003200,3.201100,3.209600,5,5,8
shenzhen,2,gcn_cgsl,GCN-cGSL,GCN,"DAGMA contemporaneous, symmetrized",4.674420,0.001486,4.673000,4.676500,3.055820,0.003182,3.052300,3.059300,5,5,16
shenzhen,2,gcn_multigsl,GCN-MultiGSL,GCN,DAGMA multi-lag union,4.854060,0.001839,4.851800,4.856100,3.081220,0.003083,3.077000,3.085200,5,5,2
shenzhen,3,physical,T-GCN,T-GCN,physical road network,5.601620,0.047532,5.535100,5.647300,4.196900,0.026642,4.151000,4.217000,5,0,532
shenzhen,3,no_spatial,T-GCN-NoSpatial,T-GCN,identity (no graph),4.191880,0.005706,4.187500,4.199600,2.804900,0.043111,2.768400,2.862700,5,5,156
shenzhen,3,gsl,T-GCN-GSL,T-GCN,DAGMA contemporaneous,4.332480,0.011561,4.320100,4.348700,2.893500,0.052402,2.855100,2.984200,5,5,8
shenzhen,3,cgsl,T-GCN-cGSL,T-GCN,"DAGMA contemporaneous, symmetrized",4.379780,0.025492,4.335300,4.397400,2.987320,0.075067,2.914100,3.066100,5,5,16
shenzhen,3,multi_gsl,T-GCN-MultiGSL,T-GCN,DAGMA multi-lag (fixed),4.200160,0.006122,4.190700,4.207100,2.850940,0.046574,2.794400,2.911300,5,5,2
shenzhen,3,multi_gsl_weighted,T-GCN-MultiGSL-Weighted,T-GCN,DAGMA multi-lag (learned global weights),4.200560,0.006241,4.190700,4.207300,2.851320,0.046764,2.794500,2.911000,5,5,2
shenzhen,3,multi_gsl_mix,T-GCN-MultiGSL-Mix,T-GCN,DAGMA multi-lag (per-node gating),4.177540,0.001544,4.175100,4.179300,2.788400,0.026395,2.753100,2.815800,5,5,2
shenzhen,3,gcn_physical,GCN,GCN,physical road network,5.989260,0.002016,5.987600,5.991700,4.434040,0.001665,4.431700,4.436000,5,0,532
shenzhen,3,gcn_no_spatial,GCN-NoSpatial,GCN,identity (no graph),4.187200,0.002727,4.184900,4.191700,2.789380,0.009653,2.780300,2.803500,5,5,156
shenzhen,3,gcn_gsl,GCN-GSL,GCN,DAGMA contemporaneous,4.929960,0.009422,4.917800,4.944000,3.226680,0.011897,3.208300,3.240300,5,5,8
